SKU,Country Category,MonthsStock,FC-M1,FC-M2,FC-M3,FC-M4,FC-M5,FC-M6,FC-M7,FC-M8,FC-M9,FC-M10,FC-M11,FC-M12,P-M1,P-M2,P-M3,P-M4,P-M5,P-M6,P-M7,P-M8,P-M9,P-M10,P-M11,P-M12,G-M1,G-M2,G-M3,G-M4,G-M5,G-M6,G-M7,G-M8,G-M9,G-M10,G-M11,G-M12,FBA-M1,FBA-M2,FBA-M3,FBA-M4,FBA-M5,FBA-M6,FBA-M7,FBA-M8,FBA-M9,FBA-M10,FBA-M11,FBA-M12,B2B-M1,B2B-M2,B2B-M3,B2B-M4,B2B-M5,B2B-M6,B2B-M7,B2B-M8,B2B-M9,B2B-M10,B2B-M11,B2B-M12
SKU Header,Country Category,MonthsStock,01-Jun-26,01-Jul-26,01-Aug-26,01-Sep-26,01-Oct-26,01-Nov-26,01-Dec-26,01-Jan-27,01-Feb-27,01-Mar-27,01-Apr-27,01-May-27,01-Jun-26,01-Jul-26,01-Aug-26,01-Sep-26,01-Oct-26,01-Nov-26,01-Dec-26,01-Jan-27,01-Feb-27,01-Mar-27,01-Apr-27,01-May-27,01-Jun-26,01-Jul-26,01-Aug-26,01-Sep-26,01-Oct-26,01-Nov-26,01-Dec-26,01-Jan-27,01-Feb-27,01-Mar-27,01-Apr-27,01-May-27,01-Jun-26,01-Jul-26,01-Aug-26,01-Sep-26,01-Oct-26,01-Nov-26,01-Dec-26,01-Jan-27,01-Feb-27,01-Mar-27,01-Apr-27,01-May-27,01-Jun-26,01-Jul-26,01-Aug-26,01-Sep-26,01-Oct-26,01-Nov-26,01-Dec-26,01-Jan-27,01-Feb-27,01-Mar-27,01-Apr-27,01-May-27
TOWLB-SUM-LG-RAINB-R,UK ILGTowel - Beach,2,124,117,238,119,9,216,74,12,21,30,34,30,,,,,,,200,40,440,,280,,101,-30,101,357,281,257,229,137,137,36,-162,-205,41,49,29,13,3,19,4,35,31,1,2,43,33,77,43,12,60,8,2,12,7,6,20,28
TOWLB-SUM-LG-SANDSEA,UK ILGTowel - Beach,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,4,8,0,0,0,5,5,0,0,,,,,,,,,,,,
TOWLB-SUM-LG-TUTFRU,UK ILGTowel - Beach,0,400,500,500,80,74,222,164,50,19,119,177,212,,,,,,240,240,520,280,360,,480,"-1,135","-1,223",444,213,619,548,485,93,93,-206,-443,-747,92,65,78,14,26,75,72,53,47,8,17,38,77,44,35,64,20,9,30,21,44,88,8,87
TOWLB-SUM-LG-UNICN-R,UK ILGTowel - Beach,6,476,600,517,194,50,440,192,50,48,81,65,108,,,,,,,600,400,920,,960,,"1,300",850,"1,126",649,774,648,545,360,360,239,-577,-994,105,163,101,28,3,141,31,13,5,6,3,6,235,254,101,228,31,16,12,63,50,14,16,7
TOWLB-SUM-MD-UNICN,UK ILGKids Towel - Beach,5,66,132,12,72,39,187,136,8,77,31,25,46,,,,50,,100,,300,,200,,300,374,247,289,58,407,342,218,-12,38,-72,-76,-272,20,24,50,49,17,36,59,51,46,38,50,46,18,40,18,6,18,18,6,6,1,46,40,18
TOWLB-SUM-X2-UNICN,UK ILGTowel - Beach,0,40,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,7,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
TOWLB-SUM-XL-COLAGN,UK ILGTowel - Beach,1,826,1159,816,238,120,334,109,79,99,219,97,0,,,,,,,,,,,,,"-1,708","-2,022","-1,249",-610,-454,-567,-133,116,3,0,0,0,266,318,164,64,59,88,80,23,27,33,51,97,76,62,21,12,8,5,15,11,10,25,16,24
TOWLB-SUM-XL-CSTCANDY,UK ILGTowel - Beach,1,543,793,432,191,65,175,73,52,59,73,87,246,,,,,,,,,,,,,-838,"-1,112",385,309,248,161,50,248,161,50,0,0,304,618,221,71,42,62,66,21,23,33,46,69,553,99,25,12,16,8,12,14,29,21,27,38
TOWLB-SUM-XL-MIAMI,UK ILGTowel - Beach,1,489,1019,692,237,95,279,129,80,100,157,234,429,,,,,,,,,,,,,"-1,414","-1,694",-774,-647,-257,-343,-119,103,17,0,0,0,196,372,98,25,25,42,28,14,22,30,23,34,828,87,48,18,10,8,15,6,22,44,17,68
TOWLB-SUM-XL-OCEAN,UK ILGTowel - Beach,0,400,500,500,54,50,148,110,34,18,150,187,344,,,,120,,420,90,900,,750,,300,"-1,397","-1,229",-171,-136,526,443,336,-109,11,-409,-502,-986,62,44,53,9,17,50,48,35,32,20,22,70,51,30,23,16,13,7,20,14,57,50,16,6
TOWLB-SUM-XL-PCHSUN,UK ILGTowel - Beach,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
TOWLB-SUM-XL-RAINB-R,UK ILGTowel - Beach,6,117,169,138,27,25,74,55,17,34,144,169,225,,,,120,,240,660,,600,,180,,523,484,350,508,344,321,246,-91,29,-213,-878,-428,18,29,35,6,11,33,32,23,21,30,42,64,788,41,12,12,109,8,109,6,41,18,6,17
TOWLB-SUM-XL-SANDSEA,UK ILGTowel - Beach,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,
TOWLB-SUM-XL-TUTFRU,UK ILGTowel - Beach,0,400,500,500,54,50,148,110,34,24,139,198,362,,,,90,,450,60,960,,750,,300,"-1,319","-1,255",-194,-138,524,441,334,-81,9,-423,-486,"-1,000",62,44,53,9,17,50,48,35,32,11,19,58,51,30,23,66,13,7,20,14,51,32,16,12
TOWLB-SUM-XL-UNICN-R,UK ILGTowel - Beach,3,252,272,352,150,34,319,121,35,36,49,55,96,,,,,,,390,,840,,240,390,30,-153,-196,4,501,444,362,129,129,17,-389,-379,32,82,13,3,9,275,2,4,3,11,1,6,122,26,96,30,8,16,40,18,43,105,12,10
TOWLF-ESS-LG-BLUE-R,UK ILGTowel - Beach,10,53,38,61,39,7,49,13,11,14,16,15,22,,,,,,,,,,,,,447,392,359,308,285,264,308,285,264,245,222,73,13,28,29,10,4,10,21,1,2,4,15,8,10,21,37,6,22,16,10,10,5,6,119,6
TOWLF-ESS-LG-DKBLU,UK ILGTowel - Beach,0,119,93,90,44,22,136,102,7,31,53,30,59,,,,,,,,,,,,,-556,-541,-382,193,23,-16,-67,103,64,0,0,0,95,94,90,36,34,47,76,0,0,0,0,0,15,47,37,10,39,32,32,32,60,158,119,42
TOWLF-ESS-LG-GREEN-R,UK ILGTowel - Beach,2,10,30,17,17,1,31,9,9,12,7,8,14,,,,,,,,,,,,,26,-5,132,85,63,41,85,63,41,0,0,0,16,17,7,1,2,9,4,4,4,7,3,20,11,9,37,14,22,16,13,13,76,18,71,0
TOWLF-ESS-LG-GREY-R,UK ILGTowel - Beach,1,35,253,206,40,37,111,82,25,51,121,0,0,,,,,,,,,,,,,-460,-521,163,-14,-155,-191,186,45,9,0,0,0,23,43,52,9,17,50,48,0,0,0,0,0,10,47,37,12,22,16,11,11,10,158,119,287
TOWLF-ESS-LG-LTPPL,UK ILGTowel - Beach,3,22,22,15,11,3,29,12,10,4,7,8,10,,,,,,,,,,,,,24,-9,40,45,16,-9,-53,96,71,0,0,0,26,15,21,8,6,9,8,5,4,8,6,13,10,47,37,14,22,16,9,10,76,6,103,0
TOWLF-ESS-LG-PINK-R,UK ILGTowel - Beach,2,27,31,23,17,11,30,20,9,12,5,13,21,,,,,,,,,,,,,3,-28,33,107,75,60,107,75,60,0,0,0,12,18,22,5,5,11,14,5,6,7,8,13,16,47,37,14,8,16,12,6,76,18,119,15
