sku_channel,sku,channel,units_2024_01,units_2024_02,units_2024_03,units_2024_04,units_2024_05,units_2024_06,units_2024_07,units_2024_08,units_2024_09,units_2024_10,units_2024_11,units_2024_12,units_2025_01,units_2025_02,units_2025_03,units_2025_04,units_2025_05,units_2025_06,units_2025_07,units_2025_08,units_2025_09,units_2025_10,units_2025_11,units_2025_12,units_2026_01,units_2026_02,units_2026_03,units_2026_04,units_2026_05,units_2026_06,units_2026_07,units_2026_08,units_2026_09,units_2026_10,units_2026_11,units_2026_12,revenue_2024_01,revenue_2024_02,revenue_2024_03,revenue_2024_04,revenue_2024_05,revenue_2024_06,revenue_2024_07,revenue_2024_08,revenue_2024_09,revenue_2024_10,revenue_2024_11,revenue_2024_12,revenue_2025_01,revenue_2025_02,revenue_2025_03,revenue_2025_04,revenue_2025_05,revenue_2025_06,revenue_2025_07,revenue_2025_08,revenue_2025_09,revenue_2025_10,revenue_2025_11,revenue_2025_12,revenue_2026_01,revenue_2026_02,revenue_2026_03,revenue_2026_04,revenue_2026_05,revenue_2026_06,revenue_2026_07,revenue_2026_08,revenue_2026_09,revenue_2026_10,revenue_2026_11,revenue_2026_12
CUSTOM-LOGO - B2B,CUSTOM-LOGO,B2B,75,196,836,227,881,130,89,75,226,0,700,0,1080,240,150,30,100,229,380,80,0,30,0,40,215,755,240,600,110,1150,330,0,0,0,0,0,0,0,2169.74,0,315,580,411.18,13.5,929,0,2800,0,320,1140,625,135,473.37,821.26,135,360,0,135,0,135,885,1040,980,0,570,3600,1341.79,0,0,0,0,0
CUSTOM-LOGO - DTC,CUSTOM-LOGO,DTC,0,0,0,0,8,1,168,44,34,0,160,0,262,50,75,295,391,552,619,131,625,60,30,0,33,158,197,951,50,245,30,0,0,0,0,0,0,0,0,0,0,313.08,0,0,0,0,0,0,0,0,0,0,0,209.45,166.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DB-OT-TOWLB-CAB-LG-LTBLU - B2B,DB-OT-TOWLB-CAB-LG-LTBLU,B2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DB-OT-TOWLB-CAB-LG-LTBLU - DTC,DB-OT-TOWLB-CAB-LG-LTBLU,DTC,16,3,25,102,121,218,532,490,55,29,2,21,14,9,47,36,189,302,544,403,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329.17,0,4.17,4.17,0,0,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DB-RICK-TOWLB-CAB-LG-BLUE - DTC,DB-RICK-TOWLB-CAB-LG-BLUE,DTC,0,0,0,0,0,0,0,0,0,0,0,0,0,32,72,19,0,130,25,79,74,92,56,56,42,68,75,77,78,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.17,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DB-WL-BAGF - B2B,DB-WL-BAGF,B2B,0,0,0,0,351,0,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2934.36,0,5852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DB-WL-COOL - B2B,DB-WL-COOL,B2B,0,0,0,800,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7528,3302.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DB-WL-HAIRW-SUE - B2B,DB-WL-HAIRW-SUE,B2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DB-WL-TOWLB-LG - B2B,DB-WL-TOWLB-LG,B2B,1040,0,0,606,0,0,0,0,0,0,0,0,0,0,500,0,500,0,0,0,0,0,850,0,0,0,0,0,0,0,0,0,0,0,0,0,12840,0,0,8777.97,0,0,0,0,0,0,0,0,0,0,7315,0,7315,0,0,0,0,0,12750,0,0,0,0,0,0,0,0,0,0,0,0,0
DB-WL-TOWLH-LG - B2B,DB-WL-TOWLH-LG,B2B,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
