Month,Action,Result,Branch,BranchId,Reference,CustomerOrderNo,Company,Stage,DispatchDate,InvoiceDateSet,Total,Currency
2026-07,UPDATE,ok,?,23087,EU-47368,,,Dispatched,2026-07-29,2026-07-29,29.1437,EUR
2026-07,UPDATE,ok,UK,5053,UK-867864,,,Dispatched,2026-07-28,2026-07-28,30,GBP
2026-07,UPDATE,ok,Amazon AU,16289,250-6127628-5218250,,[Redacted],Dispatched,2026-07-28,2026-07-28,16.56,AUD
2026-07,UPDATE,ok,Amazon AU,16289,250-6862910-4981443,,[Redacted],Dispatched,2026-07-28,2026-07-28,31.54,AUD
2026-07,UPDATE,ok,Amazon AU,16289,503-1661714-1009445,,[Redacted],Dispatched,2026-07-28,2026-07-28,31.54,AUD
2026-07,UPDATE,ok,Amazon AU,16289,503-8902926-3660611,,[Redacted],Dispatched,2026-07-28,2026-07-28,20.61,AUD
2026-07,UPDATE,ok,Amazon AU,16289,503-9296039-1875037,,[Redacted],Dispatched,2026-07-29,2026-07-29,20.58,AUD
2026-07,UPDATE,ok,Amazon AU,16289,503-2569555-4213401,,[Redacted],Dispatched,2026-07-28,2026-07-28,23.97,AUD
2026-07,UPDATE,ok,Amazon AU,16289,503-2860802-7550211,,[Redacted],Dispatched,2026-07-29,2026-07-29,31.49,AUD
2026-07,UPDATE,ok,Amazon AU,16289,249-2121773-5407033,,[Redacted],Dispatched,2026-07-28,2026-07-28,28.91,AUD
2026-07,UPDATE,ok,Amazon AU,16289,249-3891372-3367803,,[Redacted],Dispatched,2026-07-28,2026-07-28,36.8,AUD
2026-07,UPDATE,ok,Amazon AU,16289,249-6145042-3947012,,[Redacted],Dispatched,2026-07-28,2026-07-28,57.43,AUD
2026-07,UPDATE,ok,Amazon AU,16289,250-1726042-6850262,,[Redacted],Dispatched,2026-07-28,2026-07-28,20.61,AUD
2026-07,UPDATE,ok,Amazon AU,16289,250-5760191-4679826,,[Redacted],Dispatched,2026-07-27,2026-07-27,15.92,AUD
2026-07,UPDATE,ok,Amazon AU,16289,503-2619280-1841424,,[Redacted],Dispatched,2026-07-27,2026-07-27,31.43,AUD
2026-07,UPDATE,ok,Amazon AU,16289,250-1024852-5317452,,[Redacted],Dispatched,2026-07-27,2026-07-27,100.18,AUD
2026-07,UPDATE,ok,Amazon AU,16289,250-1514320-4613411,,[Redacted],Dispatched,2026-07-27,2026-07-27,12.57,AUD
